ranking,site
1,http://www.baidu.com
2,http://qq.com
3,http://sohu.com
4,http://sina.com.cn
5,http://360.cn
6,http://bitauto.com
7,http://tv.sohu.com
8,http://sogou.com
9,http://iqiyi.com
10,http://douban.com
11,http://v.qq.com
12,http://163.com
13,http://4399.com
14,http://tieba.baidu.com
15,http://ifeng.com
16,http://zol.com.cn
17,http://1688.com
18,http://hao123.com
19,http://autohome.com.cn
20,http://map.baidu.com
21,http://360doc.com
22,http://56.com
23,http://2345.com
24,http://ku6.com
25,http://so.com
26,http://pconline.com.cn
27,http://1905.com
28,http://blog.sina.com.cn
29,http://jd.com
30,http://detail.zol.com.cn
31,http://taobao.com
32,http://weibo.com
33,http://tianya.cn
34,http://zhihu.com
35,http://39.net
36,http://58.com
37,http://baike.com
38,http://people.com.cn
39,http://youku.com
40,http://bbs.tianya.cn
41,http://bilibili.com
42,http://jjwxc.net
43,http://gamersky.com
44,http://qidian.com
45,http://dict.cn
46,http://ctrip.com
47,http://jingyan.baidu.com
48,http://iciba.com
49,http://movie.douban.com
50,http://eastmoney.com
51,http://fang.com
52,http://10086.cn
53,http://ganji.com
54,http://to8to.com
55,http://ali213.net
56,http://pptv.com
57,http://mafengwo.cn
58,http://pcbaby.com.cn
59,http://meishichina.com
60,http://duowan.com
61,http://kuaidi100.com
62,http://cntv.cn
63,http://v.baidu.com
64,http://chinaz.com
65,http://pcauto.com.cn
66,http://yxdown.com
67,http://haodf.com
68,http://pclady.com.cn
69,http://le.com
70,http://tianqi.com
71,http://weather.com.cn
72,http://pc6.com
73,http://china.com
74,http://cncn.com
75,http://music.baidu.com
76,http://fanyi.baidu.com
77,http://mama.cn
78,http://120ask.com
79,http://manhuatai.com
80,http://baike.baidu.com
81,http://wenku.baidu.com
82,http://hupu.com
83,http://xiami.com
84,http://zhidao.baidu.com
85,http://gushiwen.org
86,http://eol.cn
87,http://xywy.com
88,http://xcar.com.cn
89,http://image.baidu.com
90,http://sz.bendibao.com
91,http://tvmao.com
92,http://500.com
93,http://zhcw.com
94,http://xiachufang.com
95,http://tiexue.net
96,http://lvyou.baidu.com
97,http://tudou.com
98,http://meishij.net
99,http://liuxue86.com
100,http://haodou.com
101,http://guba.eastmoney.com
102,http://mt.sohu.com
103,http://pan.baidu.com
104,http://360kan.com
105,http://nuomi.com
106,http://mgtv.com
107,http://home.meishichina.com
108,http://5156edu.com
109,http://juzimi.com
110,http://ybdu.com
111,http://vdisk.weibo.com
112,http://xh.5156edu.com
113,http://you.ctrip.com
114,http://v.ku6.com
115,http://apple.com
116,http://xinhuanet.com
117,http://china.com.cn
118,http://youdao.com
119,http://dl.pconline.com.cn
120,http://alipay.com
121,http://google.cn
122,http://iask.sina.com.cn
123,http://mi.com
124,http://51job.com
125,http://zhibo8.cc
126,http://renren.com
127,http://tmall.com
